Nodes,Percentagem,Edges,Perc_k,k,Result,Basic_Operations,Time,Memory
22,12.5,29,50,11,False,748876,5.0001630783081055,1.39453125
22,12.5,29,75,16,False,593712,5.000078916549683,10.15625
22,25,58,12.5,2,True,1,3.695487976074219e-05,0.0
22,25,58,25,5,False,1037809,5.000166893005371,10.50390625
22,25,58,50,11,False,699315,5.000169038772583,3.98046875
22,25,58,75,16,False,563460,5.000165939331055,10.40234375
22,50,116,12.5,2,True,5,7.104873657226562e-05,0.0
22,50,116,25,5,False,747081,5.000138998031616,5.1015625
22,50,116,50,11,False,547574,5.0000410079956055,4.38671875
22,50,116,75,16,False,459381,5.000140905380249,0.04296875
22,75,173,12.5,2,True,1,5.817413330078125e-05,0.0
22,75,173,25,5,True,502,0.004106998443603516,0.0
22,75,173,50,11,False,481091,5.000028848648071,0.04296875
22,75,173,75,16,False,413773,5.0001380443573,0.78125
23,12.5,32,12.5,2,True,5,5.3882598876953125e-05,0.0
23,12.5,32,25,5,False,1172287,5.000042915344238,0.125
23,12.5,32,50,11,False,746386,5.000179290771484,8.7734375
23,12.5,32,75,17,False,574614,5.000063896179199,4.16796875
23,25,63,12.5,2,True,3,4.315376281738281e-05,0.00390625
23,25,63,25,5,False,1021648,5.000127792358398,3.43359375
23,25,63,50,11,False,685540,5.000059127807617,0.125
23,25,63,75,17,False,537301,5.000159978866577,0.00390625
23,50,126,12.5,2,True,3,5.7220458984375e-05,0.0
23,50,126,25,5,True,2432,0.01660013198852539,0.0
23,50,126,50,11,False,541706,5.000152826309204,12.43359375
23,50,126,75,17,False,446056,5.000169992446899,10.55078125
23,75,190,12.5,2,True,1,4.410743713378906e-05,0.0
23,75,190,25,5,True,93,0.0007979869842529297,0.0
23,75,190,50,11,False,466986,5.000036001205444,6.44140625
23,75,190,75,17,False,391645,5.000137090682983,0.74609375
24,12.5,34,12.5,3,True,423,0.001519918441772461,0.0
24,12.5,34,25,6,False,986484,5.000036001205444,0.00390625
24,12.5,34,50,12,False,709646,5.000152826309204,0.03515625
24,12.5,34,75,18,False,549489,5.000154972076416,19.79296875
24,25,69,12.5,3,True,115,0.0005249977111816406,0.0
24,25,69,25,6,False,875829,5.000155210494995,10.62109375
24,25,69,50,12,False,648764,5.0001702308654785,1.94140625
24,25,69,75,18,False,514397,5.000164985656738,3.765625
24,50,138,12.5,3,True,22,0.0002028942108154297,0.0
24,50,138,25,6,False,653589,5.000039100646973,2.65234375
24,50,138,50,12,False,517064,5.000071048736572,2.1328125
24,50,138,75,18,False,428838,5.000166893005371,9.546875
24,75,207,12.5,3,True,3,8.0108642578125e-05,0.0
24,75,207,25,6,True,28400,0.2665228843688965,0.03515625
24,75,207,50,12,False,437803,5.000130891799927,10.328125
24,75,207,75,18,False,372235,5.0001561641693115,0.83203125
25,12.5,38,12.5,3,True,15,9.489059448242188e-05,0.0
25,12.5,38,25,6,False,983784,5.000110864639282,8.22265625
25,12.5,38,50,12,False,704037,5.000154972076416,8.6484375
25,12.5,38,75,18,False,547572,5.000158071517944,9.38671875
25,25,75,12.5,3,True,67,0.0003247261047363281,0.0
25,25,75,25,6,False,860878,5.000039100646973,4.76953125
25,25,75,50,12,False,637526,5.000133037567139,0.2109375
25,25,75,75,18,False,506912,5.000046968460083,0.03125
25,50,150,12.5,3,True,6,9.393692016601562e-05,0.0
25,50,150,25,6,False,624797,5.000066041946411,19.4453125
25,50,150,50,12,False,497938,5.00004506111145,4.75
25,50,150,75,18,False,414591,5.000152826309204,13.7578125
25,75,225,12.5,3,True,2,7.081031799316406e-05,0.00390625
25,75,225,25,6,True,16945,0.16627097129821777,0.63671875
25,75,225,50,12,False,425042,5.000161647796631,13.46484375
25,75,225,75,18,False,362974,5.0001890659332275,8.0625
26,12.5,41,12.5,3,True,14,0.0001010894775390625,0.0
26,12.5,41,25,6,False,967917,5.000035047531128,4.5546875
26,12.5,41,50,13,False,662994,5.000126838684082,0.33203125
26,12.5,41,75,19,False,522892,5.000063896179199,0.125
26,25,81,12.5,3,True,93,0.0004429817199707031,0.0
26,25,81,25,6,False,852217,5.0001890659332275,0.265625
26,25,81,50,13,False,605408,5.000174045562744,7.734375
26,25,81,75,19,False,487131,5.0001490116119385,9.65234375
26,50,162,12.5,3,True,14,0.0001583099365234375,0.0
26,50,162,25,6,False,618784,5.000136375427246,16.359375
26,50,162,50,13,False,478438,5.000171899795532,9.8828125
26,50,162,75,19,False,401202,5.000051975250244,5.5
26,75,244,12.5,3,True,3,7.486343383789062e-05,0.0
26,75,244,25,6,True,1902,0.019257068634033203,0.0
26,75,244,50,13,False,400118,5.0001280307769775,0.1328125
26,75,244,75,19,False,343753,5.000166177749634,12.1015625
27,12.5,44,12.5,3,True,1346,0.0048999786376953125,0.0
27,12.5,44,25,6,False,982475,5.000223875045776,10.18359375
27,12.5,44,50,13,False,666304,5.000059127807617,5.4140625
27,12.5,44,75,20,False,509480,5.000094175338745,3.43359375
27,25,88,12.5,3,True,35,0.00022077560424804688,0.0
27,25,88,25,6,False,759812,5.000036001205444,0.7109375
27,25,88,50,13,False,556923,5.000114917755127,21.28515625
27,25,88,75,20,False,442726,5.000173091888428,10.59375
27,50,176,12.5,3,True,25,0.00022292137145996094,0.0
27,50,176,25,6,False,583659,5.0001540184021,0.68359375
27,50,176,50,13,False,456064,5.000191926956177,0.57421875
27,50,176,75,20,False,376789,5.000146150588989,0.08984375
27,75,263,12.5,3,True,1,8.296966552734375e-05,0.0
27,75,263,25,6,True,11845,0.12649893760681152,0.0
27,75,263,50,13,False,381767,5.000174045562744,0.09765625
27,75,263,75,20,False,324212,5.0000901222229,13.53125
28,12.5,47,12.5,3,True,300,0.0011630058288574219,0.0
28,12.5,47,25,7,False,904724,5.000159025192261,34.7734375
28,12.5,47,50,14,False,632987,5.000049829483032,2.25
28,12.5,47,75,21,False,486802,5.000151872634888,6.6328125
28,25,94,12.5,3,True,98,0.0005469322204589844,0.0
28,25,94,25,7,False,712340,5.000118970870972,11.671875
28,25,94,50,14,False,533094,5.000140190124512,5.43359375
28,25,94,75,21,False,427595,5.000041961669922,0.03515625
28,50,189,12.5,3,True,9,0.00010013580322265625,0.0
28,50,189,25,7,False,549788,5.000051021575928,0.22265625
28,50,189,50,14,False,432909,5.0001540184021,0.375
28,50,189,75,21,False,360971,5.0001678466796875,0.0625
28,75,284,12.5,3,True,5,0.00010085105895996094,0.0
28,75,284,25,7,False,444487,5.000047206878662,0.1953125
28,75,284,50,14,False,366997,5.000146865844727,0.03125
28,75,284,75,21,False,313847,5.00008487701416,0.5859375
29,12.5,51,12.5,3,True,218,0.0008630752563476562,0.0
29,12.5,51,25,7,False,893640,5.000154972076416,16.66796875
29,12.5,51,50,14,False,626614,5.0000529289245605,1.25390625
29,12.5,51,75,21,False,487582,5.000155925750732,10.41796875
29,25,102,12.5,3,True,94,0.0005397796630859375,0.0
29,25,102,25,7,False,702376,5.000036239624023,0.07421875
29,25,102,50,14,False,524798,5.000141620635986,0.015625
29,25,102,75,21,False,423191,5.000125885009766,0.90625
29,50,203,12.5,3,True,3,6.29425048828125e-05,0.0
29,50,203,25,7,False,538487,5.000158309936523,0.94140625
29,50,203,50,14,False,427681,5.0000529289245605,2.5859375
29,50,203,75,21,False,358676,5.0001490116119385,8.15625
29,75,304,12.5,3,True,9,0.0001437664031982422,0.0
29,75,304,25,7,False,422139,5.000057935714722,0.23828125
29,75,304,50,14,False,351055,5.000072956085205,8.72265625
29,75,304,75,21,False,301028,5.000093221664429,13.2421875
30,12.5,54,12.5,3,True,256,0.0010187625885009766,0.0
30,12.5,54,25,7,False,885036,5.000066757202148,2.66015625
